Survived,Age,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male
0,22.0,False,False,True,False,True
1,38.0,True,False,False,True,False
1,26.0,False,False,True,True,False
1,35.0,True,False,False,True,False
0,35.0,False,False,True,False,True
0,54.0,True,False,False,False,True
0,2.0,False,False,True,False,True
1,27.0,False,False,True,True,False
1,14.0,False,True,False,True,False
1,4.0,False,False,True,True,False
1,58.0,True,False,False,True,False
0,20.0,False,False,True,False,True
0,39.0,False,False,True,False,True
0,14.0,False,False,True,True,False
1,55.0,False,True,False,True,False
0,2.0,False,False,True,False,True
0,31.0,False,False,True,True,False
0,35.0,False,True,False,False,True
1,34.0,False,True,False,False,True
1,15.0,False,False,True,True,False
1,28.0,True,False,False,False,True
0,8.0,False,False,True,True,False
1,38.0,False,False,True,True,False
0,19.0,True,False,False,False,True
0,40.0,True,False,False,False,True
0,66.0,False,True,False,False,True
0,28.0,True,False,False,False,True
0,42.0,True,False,False,False,True
0,21.0,False,False,True,False,True
0,18.0,False,False,True,True,False
1,14.0,False,False,True,True,False
0,40.0,False,False,True,True,False
0,27.0,False,True,False,True,False
1,3.0,False,True,False,True,False
1,19.0,False,False,True,True,False
0,18.0,False,False,True,True,False
0,7.0,False,False,True,False,True
0,21.0,False,False,True,False,True
1,49.0,True,False,False,True,False
1,29.0,False,True,False,True,False
0,65.0,True,False,False,False,True
1,21.0,False,True,False,True,False
0,28.5,False,False,True,False,True
1,5.0,False,True,False,True,False
0,11.0,False,False,True,False,True
0,22.0,False,False,True,False,True
1,38.0,True,False,False,True,False
0,45.0,True,False,False,False,True
0,4.0,False,False,True,False,True
1,29.0,False,True,False,True,False
0,19.0,False,False,True,False,True
1,17.0,False,False,True,True,False
0,26.0,False,False,True,False,True
0,32.0,False,True,False,False,True
0,16.0,False,False,True,True,False
0,21.0,False,True,False,False,True
0,26.0,False,False,True,False,True
1,32.0,False,False,True,False,True
0,25.0,False,False,True,False,True
1,0.83,False,True,False,False,True
1,30.0,False,False,True,True,False
0,22.0,False,False,True,False,True
1,29.0,False,False,True,False,True
0,28.0,True,False,False,False,True
1,17.0,False,True,False,True,False
1,33.0,False,False,True,True,False
0,16.0,False,False,True,False,True
1,23.0,True,False,False,True,False
0,24.0,False,False,True,False,True
0,29.0,False,False,True,False,True
0,20.0,False,False,True,False,True
0,46.0,True,False,False,False,True
0,26.0,False,False,True,False,True
0,59.0,False,False,True,False,True
0,71.0,True,False,False,False,True
1,23.0,True,False,False,False,True
1,34.0,False,True,False,True,False
0,34.0,False,True,False,False,True
0,28.0,False,False,True,True,False
0,21.0,True,False,False,False,True
0,33.0,False,False,True,False,True
0,37.0,False,False,True,False,True
0,28.0,False,False,True,False,True
1,21.0,False,False,True,True,False
0,38.0,False,False,True,False,True
0,47.0,True,False,False,False,True
0,14.5,False,False,True,True,False
0,22.0,False,False,True,False,True
0,20.0,False,False,True,True,False
0,17.0,False,False,True,True,False
0,21.0,False,False,True,False,True
0,70.5,False,False,True,False,True
0,29.0,False,True,False,False,True
0,24.0,True,False,False,False,True
0,2.0,False,False,True,True,False
0,21.0,False,True,False,False,True
0,32.5,False,True,False,False,True
1,32.5,False,True,False,True,False
0,54.0,True,False,False,False,True
1,12.0,False,False,True,False,True
1,24.0,False,False,True,False,True
0,45.0,False,False,True,False,True
0,33.0,False,False,True,False,True
0,20.0,False,False,True,False,True
0,47.0,False,False,True,True,False
1,29.0,False,True,False,True,False
0,25.0,False,True,False,False,True
0,23.0,False,True,False,False,True
1,19.0,True,False,False,True,False
0,37.0,True,False,False,False,True
0,16.0,False,False,True,False,True
0,24.0,True,False,False,False,True
